
TASKID,主题,价值,任务所有者,优先级,修改时间,修改者,涉及对象,关闭时间,创建时间,创建者,到期日期,增加营销活动信息,备注,微信状态,拨打状态,描述,标签,状态,行动摘要
zcrm_105530000001902380,18年春电销,,美霞,高,2018-04-10 03:35 下午,零克,车杰汽车快修繁博店,,2018-04-10 03:35 下午,零克,2018-04-10,电话营销,,,,,,未启动,
zcrm_105530000001902381,18年春电销,,美霞,高,2018-04-10 03:35 下午,零克,上海浦东冠余汽车修理厂,,2018-04-10 03:35 下午,零克,2018-04-10,电话营销,,,,,,未启动,
zcrm_105530000001902382,18年春电销,,美霞,高,2018-04-10 03:35 下午,零克,隆凯汽修,,2018-04-10 03:35 下午,零克,2018-04-10,电话营销,,,,,,未启动,
zcrm_105530000001902383,18年春电销,,美霞,高,2018-04-10 03:35 下午,零克,俊翼汽修,,2018-04-10 03:35 下午,零克,2018-04-10,电话营销,,,,,,未启动,
zcrm_105530000001902384,18年春电销,,美霞,高,2018-04-10 03:35 下午,零克,车洁仕汽车维修店,,2018-04-10 03:35 下午,零克,2018-04-10,电话营销,,,,,,未启动,
zcrm_105530000001902385,18年春电销,,美霞,高,2018-04-10 03:35 下午,零克,上海耐行汽车修理有限公司,,2018-04-10 03:35 下午,零克,2018-04-10,电话营销,,,,,,未启动,
zcrm_105530000001902386,18年春电销,,美霞,高,2018-04-10 03:35 下午,零克,小吴汽车修理,,2018-04-10 03:35 下午,零克,2018-04-10,电话营销,,,,,,未启动,
zcrm_105530000001902387,18年春电销,,美霞,高,2018-04-10 03:35 下午,零克,华胜豪车专修连锁(NO.135上海崇明店),,2018-04-10 03:35 下午,零克,2018-04-10,电话营销,,,,,,未启动,
zcrm_105530000001902388,18年春电销,,美霞,高,2018-04-10 03:35 下午,零克,上海富赛汽车维修服务有限公司,,2018-04-10 03:35 下午,零克,2018-04-10,电话营销,,,,,,未启动,
zcrm_105530000001902389,18年春电销,,美霞,高,2018-04-10 03:35 下午,零克,上海佳沪汽车维修服务有限公司,,2018-04-10 03:35 下午,零克,2018-04-10,电话营销,,,,,,未启动,
zcrm_105530000001902763,18年春电销,无,袁丽,高,2018-04-13 02:42 下午,袁丽,老许汽车修理,2018-04-13 02:42 下午,2018-04-10 03:38 下午,零克,2018-04-10,电话营销,,,拒绝沟通,,,完成,
zcrm_105530000001902764,18年春电销,无,袁丽,高,2018-04-13 03:21 下午,袁丽,绍兴市联兴汽车维修服务站,2018-04-13 03:21 下午,2018-04-10 03:38 下午,零克,2018-04-10,电话营销,,,拒绝沟通,,,完成,
zcrm_105530000001902765,18年春电销,无,袁丽,高,2018-04-13 02:38 下午,袁丽,富豪轿修,2018-04-13 02:38 下午,2018-04-10 03:38 下午,零克,2018-04-10,电话营销,,,有效沟通,,,完成,
zcrm_105530000001902766,18年春电销,无,袁丽,高,2018-04-13 02:36 下午,袁丽,驰加汽车服务中心(育才店),2018-04-13 02:36 下午,2018-04-10 03:38 下午,零克,2018-04-10,电话营销,轮胎,,有效沟通,,,完成,
zcrm_105530000001902767,18年春电销,无,袁丽,高,2018-04-13 02:33 下午,袁丽,上虞市山东汽车修理厂,2018-04-13 02:33 下午,2018-04-10 03:38 下午,零克,2018-04-10,电话营销,,,有效沟通,,,完成,
zcrm_105530000001902768,18年春电销,,袁丽,高,2018-04-13 02:32 下午,袁丽,宝通轿车维修服务有限公司,2018-04-13 02:32 下午,2018-04-10 03:38 下午,零克,2018-04-10,电话营销,,,未接听/正在通话/对方忙/信号差,,,完成,
zcrm_105530000001902769,18年春电销,无,袁丽,高,2018-04-13 02:31 下午,袁丽,南山角轿修,2018-04-13 02:31 下午,2018-04-10 03:38 下午,零克,2018-04-10,电话营销,,,有效沟通,,,完成,
zcrm_105530000001902770,18年春电销,无,袁丽,高,2018-04-13 03:19 下午,袁丽,小不点汽修,2018-04-13 03:19 下午,2018-04-10 03:38 下午,零克,2018-04-10,电话营销,,,拒绝沟通,,,完成,
zcrm_105530000001902771,18年春电销,无,袁丽,高,2018-04-13 02:25 下午,袁丽,春眀轿修,2018-04-13 02:25 下午,2018-04-10 03:38 下午,零克,2018-04-10,电话营销,停机,,未接听/正在通话/对方忙/信号差,,,完成,
zcrm_105530000001902772,18年春电销,中,袁丽,高,2018-04-13 02:23 下午,袁丽,丰源汽修,2018-04-13 02:23 下午,2018-04-10 03:38 下午,零克,2018-04-10,电话营销,,已请求,有效沟通,,,完成,
zcrm_105530000001902773,18年春电销,无,袁丽,高,2018-04-13 02:18 下午,袁丽,星辰汽车维修,2018-04-13 02:18 下午,2018-04-10 03:38 下午,零克,2018-04-10,电话营销,,,有效沟通,,,完成,
zcrm_105530000001902774,18年春电销,无,袁丽,高,2018-04-13 02:17 下午,袁丽,兴平汽修,2018-04-13 02:17 下午,2018-04-10 03:38 下午,零克,2018-04-10,电话营销,,,有效沟通,,,完成,
zcrm_105530000001902775,18年春电销,无,袁丽,高,2018-04-13 02:16 下午,袁丽,诚通汽车,2018-04-13 02:16 下午,2018-04-10 03:38 下午,零克,2018-04-10,电话营销,,,有效沟通,,,完成,
zcrm_105530000001902776,18年春电销,中,袁丽,高,2018-04-13 03:17 下午,袁丽,诸暨金丰汽车服务站,2018-04-13 03:17 下午,2018-04-10 03:38 下午,零克,2018-04-10,电话营销,,已请求,有效沟通,,,完成,
zcrm_105530000001902777,18年春电销,无,袁丽,高,2018-04-13 02:11 下午,袁丽,汽修汽配,2018-04-13 02:11 下午,2018-04-10 03:38 下午,零克,2018-04-10,电话营销,,,有效沟通,,,完成,
zcrm_105530000001902778,18年春电销,无,袁丽,高,2018-04-13 02:07 下午,袁丽,全新轿车修理服务中心,2018-04-13 02:07 下午,2018-04-10 03:38 下午,零克,2018-04-10,电话营销,,,有效沟通,,,完成,
zcrm_105530000001902779,18年春电销,无,袁丽,高,2018-04-13 02:05 下午,袁丽,远大汽修,2018-04-13 02:05 下午,2018-04-10 03:38 下午,零克,2018-04-10,电话营销,,,有效沟通,,,完成,
zcrm_105530000001902780,18年春电销,低,袁丽,高,2018-04-13 02:04 下午,袁丽,车管家汽车维修中心,2018-04-13 02:04 下午,2018-04-10 03:38 下午,零克,2018-04-10,电话营销,,已请求,有效沟通,,,完成,
zcrm_105530000001902781,18年春电销,无,袁丽,高,2018-04-13 02:00 下午,袁丽,忠明轿车维修,2018-04-13 02:00 下午,2018-04-10 03:38 下午,零克,2018-04-10,电话营销,,,有效沟通,,,完成,
zcrm_105530000001902782,18年春电销,低,袁丽,高,2018-04-13 01:58 下午,袁丽,豪阳汽车维修,2018-04-13 01:58 下午,2018-04-10 03:38 下午,零克,2018-04-10,电话营销,,已请求,有效沟通,,,完成,
zcrm_105530000001902783,18年春电销,低,袁丽,高,2018-04-13 01:56 下午,袁丽,金马轿车快修,2018-04-13 01:56 下午,2018-04-10 03:38 下午,零克,2018-04-10,电话营销,,已请求,有效沟通,,,完成,
zcrm_105530000001902784,18年春电销,无,袁丽,高,2018-04-13 01:52 下午,袁丽,新昌新世纪汽车维修有限公司(上虞海江服务站),2018-04-13 01:52 下午,2018-04-10 03:38 下午,零克,2018-04-10,电话营销,空号,,未接听/正在通话/对方忙/信号差,,,完成,
zcrm_105530000001902785,18年春电销,中,袁丽,高,2018-04-13 01:52 下午,袁丽,万里马汽车维修中心,2018-04-13 01:52 下午,2018-04-10 03:38 下午,零克,2018-04-10,电话营销,,已请求,有效沟通,,,完成,
zcrm_105530000001902786,18年春电销,无,袁丽,高,2018-04-13 01:47 下午,袁丽,德胜轿修有限公司,2018-04-13 01:47 下午,2018-04-10 03:38 下午,零克,2018-04-10,电话营销,,,有效沟通,,,完成,
zcrm_105530000001902787,18年春电销,低,袁丽,高,2018-04-13 01:46 下午,袁丽,绍兴市越城区老兵汽车维修经营部,2018-04-13 01:46 下午,2018-04-10 03:38 下午,零克,2018-04-10,电话营销,,已请求,有效沟通,,,完成,
zcrm_105530000001902788,18年春电销,无,袁丽,高,2018-04-13 01:41 下午,袁丽,驰加汽车服务中心(灵芝镇店),2018-04-13 01:41 下午,2018-04-10 03:38 下午,零克,2018-04-10,电话营销,号码错误,,有效沟通,,,完成,
zcrm_105530000001902789,18年春电销,无,袁丽,高,2018-04-13 01:39 下午,袁丽,好如初汽车玻璃修补店,2018-04-13 01:39 下午,2018-04-10 03:38 下午,零克,2018-04-10,电话营销,,,有效沟通,,,完成,
zcrm_105530000001902790,18年春电销,无,袁丽,高,2018-04-13 01:38 下午,袁丽,车洁士汽修,2018-04-13 01:38 下午,2018-04-10 03:38 下午,零克,2018-04-10,电话营销,,,有效沟通,,,完成,
zcrm_105530000001902791,18年春电销,无,袁丽,高,2018-04-13 01:37 下午,袁丽,祝国军汽修,2018-04-13 01:37 下午,2018-04-10 03:38 下午,零克,2018-04-10,电话营销,,,有效沟通,,,完成,
zcrm_105530000001902792,18年春电销,无,袁丽,高,2018-04-13 01:35 下午,袁丽,振兴汽车修理部,2018-04-13 01:35 下午,2018-04-10 03:38 下午,零克,2018-04-10,电话营销,号码错误,,有效沟通,,,完成,
zcrm_105530000001902793,18年春电销,无,袁丽,高,2018-04-13 02:51 下午,袁丽,君波汽修,2018-04-13 02:51 下午,2018-04-10 03:38 下午,零克,2018-04-10,电话营销,,,有效沟通,,,完成,
zcrm_105530000001902794,18年春电销,无,袁丽,高,2018-04-13 12:00 下午,袁丽,上虞区谢塘利江汽车修理,2018-04-13 12:00 下午,2018-04-10 03:38 下午,零克,2018-04-10,电话营销,,,有效沟通,,,完成,
zcrm_105530000001902795,18年春电销,无,袁丽,高,2018-04-13 11:57 上午,袁丽,小尹汽修,2018-04-13 11:57 上午,2018-04-10 03:38 下午,零克,2018-04-10,电话营销,,,拒绝沟通,,,完成,
zcrm_105530000001902796,18年春电销,无,袁丽,高,2018-04-13 11:56 上午,袁丽,一鸣汽车修理,2018-04-13 11:56 上午,2018-04-10 03:38 下午,零克,2018-04-10,电话营销,,,拒绝沟通,,,完成,
zcrm_105530000001902797,18年春电销,无,袁丽,高,2018-04-13 11:54 上午,袁丽,绍兴市袍江众达汽车修理店,2018-04-13 11:54 上午,2018-04-10 03:38 下午,零克,2018-04-10,电话营销,,,有效沟通,,,完成,
zcrm_105530000001903403,18年春电销,中,小丁,常规,2018-04-11 01:10 下午,小丁,袍江武亮汽车修理部,2018-04-11 01:10 下午,2018-04-10 04:10 下午,零克,2018-04-10,电话营销,,已请求,有效沟通,,,完成,
zcrm_105530000001903404,18年春电销,无,小丁,常规,2018-04-11 10:01 上午,小丁,重诺汽修,2018-04-11 10:01 上午,2018-04-10 04:10 下午,零克,2018-04-10,电话营销,倒闭了,未添加,有效沟通,,,完成,
zcrm_105530000001903405,18年春电销,,小丁,常规,2018-04-11 10:00 上午,小丁,华舍汽车修理厂,2018-04-11 10:00 上午,2018-04-10 04:10 下午,零克,2018-04-10,电话营销,,,空号/错号/停机,,,完成,
zcrm_105530000001903406,18年春电销,中,小丁,常规,2018-04-11 01:12 下午,小丁,绍兴畅达汽车修理有限公司,2018-04-11 01:12 下午,2018-04-10 04:10 下午,零克,2018-04-10,电话营销,,已请求,有效沟通,,,完成,
zcrm_105530000001903407,18年春电销,高,小丁,常规,2018-04-11 10:51 上午,小丁,诸暨林峰汽车修理厂,2018-04-11 10:51 上午,2018-04-10 04:10 下午,零克,2018-04-10,电话营销,,已请求,有效沟通,,,完成,
zcrm_105530000001903408,18年春电销,高,小丁,常规,2018-04-11 01:13 下午,小丁,汇众汽车维修部,2018-04-11 01:13 下午,2018-04-10 04:10 下午,零克,2018-04-10,电话营销,有合作对象,未添加,有效沟通,,,完成,
zcrm_105530000001903409,18年春电销,高,小丁,常规,2018-04-11 09:40 上午,小丁,诸暨港汇汽车维修,2018-04-11 09:40 上午,2018-04-10 04:10 下午,零克,2018-04-10,电话营销,有合作对象,已请求,有效沟通,,,完成,
zcrm_105530000001903410,18年春电销,无,小丁,常规,2018-04-11 09:38 上午,小丁,绍兴县平水汽车修理厂,2018-04-11 09:38 上午,2018-04-10 04:10 下午,零克,2018-04-10,电话营销,,未添加,拒绝沟通,,,完成,
zcrm_105530000001903411,18年春电销,无,小丁,常规,2018-04-11 09:37 上午,小丁,绍兴齐贤鸿汽车快修中心,2018-04-11 09:37 上午,2018-04-10 04:10 下午,零克,2018-04-10,电话营销,,未添加,有效沟通,,,完成,
zcrm_105530000001903412,18年春电销,无,小丁,常规,2018-04-11 09:36 上午,小丁,时代汽修厂,2018-04-11 09:36 上午,2018-04-10 04:10 下午,零克,2018-04-10,电话营销,,未添加,拒绝沟通,,,完成,
zcrm_105530000001903413,18年春电销,无,小丁,常规,2018-04-11 09:29 上午,小丁,迪通轿修,2018-04-11 09:29 上午,2018-04-10 04:10 下午,零克,2018-04-10,电话营销,,未添加,拒绝沟通,,,完成,
zcrm_105530000001903414,18年春电销,低,小丁,常规,2018-04-11 09:28 上午,小丁,诸暨市海江汽车修理厂,2018-04-11 09:28 上午,2018-04-10 04:10 下午,零克,2018-04-10,电话营销,,未添加,拒绝沟通,,,完成,
zcrm_105530000001903415,18年春电销,无,小丁,常规,2018-04-11 09:27 上午,小丁,国脉汽车修理厂,2018-04-11 09:27 上午,2018-04-10 04:10 下午,零克,2018-04-10,电话营销,修客车,未添加,有效沟通,,,完成,
zcrm_105530000001903416,18年春电销,无,小丁,常规,2018-04-11 01:15 下午,小丁,丹丰汽修,2018-04-11 01:15 下午,2018-04-10 04:10 下午,零克,2018-04-10,电话营销,倒闭了,未添加,有效沟通,,,完成,
zcrm_105530000001903417,18年春电销,高,小丁,常规,2018-04-11 09:21 上午,小丁,凌丰轿车维修服务站,2018-04-11 09:21 上午,2018-04-10 04:10 下午,零克,2018-04-10,电话营销,有合作对象,未添加,有效沟通,,,完成,
zcrm_105530000001903418,18年春电销,,小丁,常规,2018-04-11 01:16 下午,小丁,诸暨市三毛汽车快修店,2018-04-11 01:16 下午,2018-04-10 04:10 下午,零克,2018-04-10,电话营销,,,拒绝接听,,,完成,
zcrm_105530000001903419,18年春电销,无,小丁,常规,2018-04-11 09:17 上午,小丁,新平汽车修理,2018-04-11 09:17 上午,2018-04-10 04:10 下午,零克,2018-04-10,电话营销,,未添加,空号/错号/停机,,,完成,
zcrm_105530000001903420,18年春电销,无,小丁,常规,2018-04-11 09:12 上午,小丁,浙江绍兴宝骏汽车销售服务有限公司,2018-04-11 09:12 上午,2018-04-10 04:10 下午,零克,2018-04-10,电话营销,修五菱的,未添加,有效沟通,,,完成,
zcrm_105530000001903421,18年春电销,中,小丁,常规,2018-04-11 09:07 上午,小丁,小拇指汽车维修,2018-04-11 09:07 上午,2018-04-10 04:10 下午,零克,2018-04-10,电话营销,,已请求,有效沟通,,,完成,
zcrm_105530000001903422,18年春电销,无,小丁,常规,2018-04-11 01:19 下午,小丁,诸暨市顺达汽车修理有限公司,2018-04-11 01:19 下午,2018-04-10 04:10 下午,零克,2018-04-10,电话营销,修大货车,,有效沟通,,,完成,
zcrm_105530000001903423,18年春电销,无,小丁,常规,2018-04-11 09:04 上午,小丁,家骑士汽车服务(No.01店),2018-04-11 09:04 上午,2018-04-10 04:10 下午,零克,2018-04-10,电话营销,,未添加,有效沟通,,,完成,
zcrm_105530000001903424,18年春电销,无,小丁,常规,2018-04-11 09:03 上午,小丁,金锋汽修,2018-04-11 09:03 上午,2018-04-10 04:10 下午,零克,2018-04-10,电话营销,,未添加,有效沟通,,,完成,
zcrm_105530000001903425,18年春电销,高,小丁,常规,2018-04-11 09:01 上午,小丁,新天使轿修,2018-04-11 09:01 上午,2018-04-10 04:10 下午,零克,2018-04-10,电话营销,,已请求,有效沟通,,,完成,
zcrm_105530000001903426,18年春电销,,小丁,常规,2018-04-11 08:59 上午,小丁,东方汽车修理厂,2018-04-11 08:59 上午,2018-04-10 04:10 下午,零克,2018-04-10,电话营销,,,拒绝接听,,,完成,
zcrm_105530000001903427,18年春电销,,小丁,常规,2018-04-11 08:58 上午,小丁,嵊一汽修,2018-04-11 08:58 上午,2018-04-10 04:10 下午,零克,2018-04-10,电话营销,,,关机,,,完成,
zcrm_105530000001903428,18年春电销,无,小丁,常规,2018-04-11 08:58 上午,小丁,绍兴市景鑫汽车修理有限公司,2018-04-11 08:58 上午,2018-04-10 04:10 下午,零克,2018-04-10,电话营销,,未添加,拒绝沟通,,,完成,
zcrm_105530000001903429,18年春电销,无,小丁,常规,2018-04-11 08:56 上午,小丁,名达汽修,2018-04-11 08:56 上午,2018-04-10 04:10 下午,零克,2018-04-10,电话营销,,未添加,有效沟通,,,完成,
zcrm_105530000001903430,18年春电销,低,小丁,常规,2018-04-11 08:55 上午,小丁,丁师傅别克专修,2018-04-11 08:55 上午,2018-04-10 04:10 下午,零克,2018-04-10,电话营销,,已请求,有效沟通,,,完成,
zcrm_105530000001903431,18年春电销,无,小丁,常规,2018-04-11 01:20 下午,小丁,车博士汽车快修部,2018-04-11 01:20 下午,2018-04-10 04:10 下午,零克,2018-04-10,电话营销,,,拒绝沟通,,,完成,
zcrm_105530000001903432,18年春电销,高,小丁,常规,2018-04-11 01:23 下午,小丁,嵊州奥宝马汽车维保中心,2018-04-11 01:23 下午,2018-04-10 04:10 下午,零克,2018-04-10,电话营销,,已请求,有效沟通,,,完成,
zcrm_105530000001903433,18年春电销,高,小丁,常规,2018-04-11 01:25 下午,小丁,科能轿修,2018-04-11 01:25 下午,2018-04-10 04:10 下午,零克,2018-04-10,电话营销,,已请求,有效沟通,,,完成,
zcrm_105530000001903434,18年春电销,中,小丁,常规,2018-04-11 01:36 下午,小丁,滨海汽车修理厂,2018-04-11 01:36 下午,2018-04-10 04:10 下午,零克,2018-04-10,电话营销,,已请求,有效沟通,,,完成,
zcrm_105530000001903435,18年春电销,高,小丁,常规,2018-04-11 01:39 下午,小丁,上田车业,2018-04-11 01:39 下午,2018-04-10 04:10 下午,零克,2018-04-10,电话营销,有合作对象,未添加,有效沟通,,,完成,
zcrm_105530000001903436,18年春电销,高,小丁,常规,2018-04-11 01:47 下午,小丁,绍兴市新三角轿车维修有限公司上虞分公司,2018-04-11 01:47 下午,2018-04-10 04:10 下午,零克,2018-04-10,电话营销,有合作对象，寄杂志,未添加,有效沟通,,,完成,
zcrm_105530000001903437,18年春电销,中,小丁,常规,2018-04-11 01:49 下午,小丁,嵊州市惠普汽车修理有限公司(奇瑞汽车销售服务站),2018-04-11 01:49 下午,2018-04-10 04:10 下午,零克,2018-04-10,电话营销,,未添加,有效沟通,,,完成,
zcrm_105530000001903438,18年春电销,无,小丁,常规,2018-04-11 01:50 下午,小丁,诸暨服务区-浙江杭金衢高速公路汽车维修诸暨服务站,2018-04-11 01:50 下午,2018-04-10 04:10 下午,零克,2018-04-10,电话营销,,未添加,有效沟通,,,完成,
zcrm_105530000001903439,18年春电销,低,小丁,常规,2018-04-11 01:55 下午,小丁,柯桥区第三汽车修理厂,2018-04-11 01:55 下午,2018-04-10 04:10 下午,零克,2018-04-10,电话营销,,未添加,有效沟通,,,完成,
zcrm_105530000001903440,18年春电销,,小丁,常规,2018-04-12 02:40 下午,小丁,台州市路桥强劲汽车修理厂,2018-04-12 02:40 下午,2018-04-10 04:10 下午,零克,2018-04-10,电话营销,,,拒绝接听,,,完成,
zcrm_105530000001903441,18年春电销,,小丁,常规,2018-04-12 10:52 上午,小丁,温岭市小汽车维修厂,2018-04-12 10:52 上午,2018-04-10 04:10 下午,零克,2018-04-10,电话营销,,,有效沟通,,,完成,
zcrm_105530000001903442,18年春电销,无,小丁,常规,2018-04-12 10:51 上午,小丁,启辰东风日产恒联专营店,2018-04-12 10:51 上午,2018-04-10 04:10 下午,零克,2018-04-10,电话营销,,未添加,有效沟通,,,完成,
zcrm_105530000001903443,18年春电销,无,小丁,常规,2018-04-11 02:53 下午,小丁,广汽丰田(祥龙江南店),2018-04-11 02:53 下午,2018-04-10 04:10 下午,零克,2018-04-10,电话营销,,未添加,有效沟通,,,完成,
zcrm_105530000001903444,18年春电销,无,小丁,常规,2018-04-11 02:53 下午,小丁,东风本田汽车盛通达特约销售服务店,2018-04-11 02:53 下午,2018-04-10 04:10 下午,零克,2018-04-10,电话营销,,未添加,有效沟通,,,完成,
zcrm_105530000001903445,18年春电销,无,小丁,常规,2018-04-11 02:54 下午,小丁,东风日产台州森曦专营店,2018-04-11 02:54 下午,2018-04-10 04:10 下午,零克,2018-04-10,电话营销,,未添加,有效沟通,,,完成,
zcrm_105530000001903446,18年春电销,无,小丁,常规,2018-04-11 01:56 下午,小丁,吉利汽车(临海4s店),2018-04-11 01:56 下午,2018-04-10 04:10 下午,零克,2018-04-10,电话营销,,未添加,有效沟通,,,完成,
zcrm_105530000001903447,18年春电销,,小丁,常规,2018-04-11 01:57 下午,小丁,台州保时捷专业维修中心,2018-04-11 01:57 下午,2018-04-10 04:10 下午,零克,2018-04-10,电话营销,,,有效沟通,,,完成,
zcrm_105530000001903448,18年春电销,中,小丁,常规,2018-04-11 05:47 下午,小丁,小黄汽车快修,2018-04-11 05:47 下午,2018-04-10 04:10 下午,零克,2018-04-10,电话营销,,已请求,有效沟通,,,完成,
zcrm_105530000001903449,18年春电销,,小丁,常规,2018-04-12 10:51 上午,小丁,南京捷友汽车服务广场,2018-04-12 10:51 上午,2018-04-10 04:10 下午,零克,2018-04-10,电话营销,,,空号/错号/停机,,,完成,
zcrm_105530000001903450,18年春电销,无,小丁,常规,2018-04-12 10:51 上午,小丁,南京古都汽车修理有限公司,2018-04-12 10:51 上午,2018-04-10 04:10 下午,零克,2018-04-10,电话营销,,未添加,有效沟通,,,完成,
zcrm_105530000001903451,18年春电销,高,小丁,常规,2018-04-11 05:24 下午,小丁,江苏联合汽修,2018-04-11 05:24 下午,2018-04-10 04:10 下午,零克,2018-04-10,电话营销,有合作对象,未添加,有效沟通,,,完成,
zcrm_105530000001903452,18年春电销,,小丁,常规,2018-04-12 03:37 下午,小丁,源盛汽修,2018-04-12 03:37 下午,2018-04-10 04:10 下午,零克,2018-04-10,电话营销,,,拒绝接听,,,完成,
zcrm_105530000001903453,18年春电销,,小丁,常规,2018-04-12 10:49 上午,小丁,东方汽车维修中心(大明路店),2018-04-12 10:49 上午,2018-04-10 04:10 下午,零克,2018-04-10,电话营销,,,拒绝接听,,,完成,
zcrm_105530000001903454,18年春电销,,小丁,常规,2018-04-11 05:23 下午,小丁,南京南奥汽车维修有限公司,2018-04-11 05:23 下午,2018-04-10 04:10 下午,零克,2018-04-10,电话营销,,,空号/错号/停机,,,完成,
zcrm_105530000001903455,18年春电销,中,小丁,常规,2018-04-11 03:00 下午,小丁,南京君奥奥迪专业维修,2018-04-11 03:00 下午,2018-04-10 04:10 下午,零克,2018-04-10,电话营销,,已请求,有效沟通,,,完成,
zcrm_105530000001903456,18年春电销,,小丁,常规,2018-04-12 02:38 下午,小丁,苏友汽车快修(雨花南路店),2018-04-12 02:38 下午,2018-04-10 04:10 下午,零克,2018-04-10,电话营销,,,拒绝接听,,,完成,
zcrm_105530000001903457,18年春电销,高,小丁,常规,2018-04-11 05:16 下午,小丁,新奇特汽车维修中心,2018-04-11 05:16 下午,2018-04-10 04:10 下午,零克,2018-04-10,电话营销,,已请求,有效沟通,,,完成,
zcrm_105530000001903458,18年春电销,高,小丁,常规,2018-04-11 02:59 下午,小丁,华胜奔驰宝马保时捷奥迪专修连锁中国NO.30,2018-04-11 02:59 下午,2018-04-10 04:10 下午,零克,2018-04-10,电话营销,,未添加,有效沟通,,,完成,
zcrm_105530000001903459,18年春电销,,小丁,常规,2018-04-11 02:57 下午,小丁,华硕修理厂,2018-04-11 02:57 下午,2018-04-10 04:10 下午,零克,2018-04-10,电话营销,,,空号/错号/停机,,,完成,
zcrm_105530000001903460,18年春电销,高,小丁,常规,2018-04-11 05:13 下午,小丁,新奇特汽车维修中心(尧佳路),2018-04-11 05:13 下午,2018-04-10 04:10 下午,零克,2018-04-10,电话营销,不对外合作，要和总部谈,未添加,有效沟通,,,完成,
zcrm_105530000001903461,18年春电销,无,小丁,常规,2018-04-12 10:47 上午,小丁,赛运汽车维修有限公司,2018-04-12 10:47 上午,2018-04-10 04:10 下午,零克,2018-04-10,电话营销,,未添加,有效沟通,,,完成,
zcrm_105530000001903462,18年春电销,,小丁,常规,2018-04-11 05:11 下午,小丁,南京市三盟汽车修理厂,2018-04-11 05:11 下午,2018-04-10 04:10 下午,零克,2018-04-10,电话营销,,,拒绝接听,,,完成,
zcrm_105530000001903463,18年春电销,,小丁,常规,2018-04-11 05:10 下午,小丁,永康市利达汽车修理厂,2018-04-11 05:10 下午,2018-04-10 04:10 下午,零克,2018-04-10,电话营销,,,空号/错号/停机,,,完成,
zcrm_105530000001903464,18年春电销,中,小丁,常规,2018-04-11 02:55 下午,小丁,上潘汽修,2018-04-11 02:55 下午,2018-04-10 04:10 下午,零克,2018-04-10,电话营销,发杂志,未添加,有效沟通,,,完成,
zcrm_105530000001903465,18年春电销,低,小丁,常规,2018-04-12 10:47 上午,小丁,象龙汽车维修服务有限公司,2018-04-12 10:47 上午,2018-04-10 04:10 下午,零克,2018-04-10,电话营销,,未添加,有效沟通,,,完成,
zcrm_105530000001903466,18年春电销,低,小丁,常规,2018-04-11 10:57 上午,小丁,车至尚汽车快修,2018-04-11 10:57 上午,2018-04-10 04:10 下午,零克,2018-04-10,电话营销,,未添加,有效沟通,,,完成,
zcrm_105530000001903467,18年春电销,,小丁,常规,2018-04-11 10:59 上午,小丁,精亿汽修,2018-04-11 10:59 上午,2018-04-10 04:10 下午,零克,2018-04-10,电话营销,,,空号/错号/停机,,,完成,
zcrm_105530000001903468,18年春电销,低,小丁,常规,2018-04-11 02:45 下午,小丁,峰明汽车修理,2018-04-11 02:45 下午,2018-04-10 04:10 下午,零克,2018-04-10,电话营销,,已请求,有效沟通,,,完成,
zcrm_105530000001903469,18年春电销,,小丁,常规,2018-04-11 11:04 上午,小丁,华胜奔驰宝马奥迪专修连锁(奔宝店),2018-04-11 11:04 上午,2018-04-10 04:10 下午,零克,2018-04-10,电话营销,,,空号/错号/停机,,,完成,
zcrm_105530000001903470,18年春电销,低,小丁,常规,2018-04-11 05:09 下午,小丁,永丰汽修,2018-04-11 05:09 下午,2018-04-10 04:10 下午,零克,2018-04-10,电话营销,,已请求,有效沟通,,,完成,
zcrm_105530000001903471,18年春电销,,小丁,常规,2018-04-12 10:46 上午,小丁,通达汽修,2018-04-12 10:46 上午,2018-04-10 04:10 下午,零克,2018-04-10,电话营销,,,空号/错号/停机,,,完成,
zcrm_105530000001903472,18年春电销,低,小丁,常规,2018-04-11 10:25 上午,小丁,车安汽车修理,2018-04-11 10:25 上午,2018-04-10 04:10 下午,零克,2018-04-10,电话营销,,已请求,有效沟通,,,完成,
zcrm_105530000001903473,18年春电销,,小丁,常规,2018-04-11 10:24 上午,小丁,云川汽车修理厂,2018-04-11 10:24 上午,2018-04-10 04:10 下午,零克,2018-04-10,电话营销,,,拒绝接听,,,完成,
zcrm_105530000001903474,18年春电销,低,小丁,常规,2018-04-11 10:16 上午,小丁,龙威汽修,2018-04-11 10:16 上午,2018-04-10 04:10 下午,零克,2018-04-10,电话营销,,已请求,有效沟通,,,完成,
zcrm_105530000001903475,18年春电销,低,小丁,常规,2018-04-12 10:46 上午,小丁,永康市小陈汽车修理,2018-04-12 10:46 上午,2018-04-10 04:10 下午,零克,2018-04-10,电话营销,,已请求,有效沟通,,,完成,
zcrm_105530000001903476,18年春电销,,小丁,常规,2018-04-12 02:37 下午,小丁,远宏汽修部,2018-04-12 02:37 下午,2018-04-10 04:10 下午,零克,2018-04-10,电话营销,,,拒绝接听,,,完成,
